borough,building_class_category,gross_square_feet,sale_price,sale_date,building_class_8
3,03 THREE FAMILY DWELLINGS,2265,1300000,2025-04-10,ThreeFamily
3,02 TWO FAMILY DWELLINGS,2436,2310000,2025-05-27,TwoFamily
3,02 TWO FAMILY DWELLINGS,1120,450000,2025-02-13,TwoFamily
3,01 ONE FAMILY DWELLINGS,2256,1100000,2025-09-26,OneFamily
4,02 TWO FAMILY DWELLINGS,1728,922000,2025-09-11,TwoFamily
5,01 ONE FAMILY DWELLINGS,1008,499999,2025-08-06,OneFamily
5,01 ONE FAMILY DWELLINGS,1806,615000,2025-05-21,OneFamily
5,01 ONE FAMILY DWELLINGS,1188,488500,2024-12-03,OneFamily
2,08 RENTALS - ELEVATOR APARTMENTS,68040,5472420,2025-05-16,ElevatorApt
2,08 RENTALS - ELEVATOR APARTMENTS,66000,4500000,2025-03-01,ElevatorApt
3,21 OFFICE BUILDINGS,57425,28700000,2025-04-02,Commercial
5,02 TWO FAMILY DWELLINGS,5580,1450000,2025-08-08,TwoFamily
5,01 ONE FAMILY DWELLINGS,1600,605000,2025-10-27,OneFamily
5,01 ONE FAMILY DWELLINGS,4300,850000,2025-06-25,OneFamily
3,14 RENTALS - 4-10 UNIT,2530,1388000,2025-04-22,Other
5,01 ONE FAMILY DWELLINGS,1240,650000,2025-03-24,OneFamily
3,03 THREE FAMILY DWELLINGS,2400,2815000,2024-12-19,ThreeFamily
3,01 ONE FAMILY DWELLINGS,1283,430000,2025-04-23,OneFamily
3,02 TWO FAMILY DWELLINGS,2000,995000,2025-10-09,TwoFamily
4,01 ONE FAMILY DWELLINGS,1472,1560000,2025-10-21,OneFamily
5,01 ONE FAMILY DWELLINGS,2992,1049000,2025-09-10,OneFamily
1,07 RENTALS - WALKUP APARTMENTS,6300,4750000,2025-05-05,WalkupApt
4,02 TWO FAMILY DWELLINGS,1544,1256000,2025-02-20,TwoFamily
5,01 ONE FAMILY DWELLINGS,1240,620000,2025-08-25,OneFamily
5,02 TWO FAMILY DWELLINGS,1493,495000,2025-08-08,TwoFamily
3,02 TWO FAMILY DWELLINGS,1952,3860000,2025-07-25,TwoFamily
3,03 THREE FAMILY DWELLINGS,1680,999990,2025-08-28,ThreeFamily
3,01 ONE FAMILY DWELLINGS,2295,2585000,2025-08-01,OneFamily
3,01 ONE FAMILY DWELLINGS,2295,2637500,2024-11-14,OneFamily
3,03 THREE FAMILY DWELLINGS,2400,3150000,2024-12-20,ThreeFamily
4,02 TWO FAMILY DWELLINGS,2040,942000,2025-10-23,TwoFamily
5,01 ONE FAMILY DWELLINGS,1305,550000,2025-05-07,OneFamily
2,01 ONE FAMILY DWELLINGS,1316,260500,2025-01-18,OneFamily
4,29 COMMERCIAL GARAGES,4395,5000000,2025-05-29,Commercial
3,02 TWO FAMILY DWELLINGS,1916,1370000,2025-05-30,TwoFamily
1,22 STORE BUILDINGS,3764,5000000,2025-08-18,Commercial
2,02 TWO FAMILY DWELLINGS,1728,650000,2025-06-24,TwoFamily
3,14 RENTALS - 4-10 UNIT,4800,7175000,2025-04-24,Other
4,02 TWO FAMILY DWELLINGS,2301,1290000,2025-05-09,TwoFamily
1,02 TWO FAMILY DWELLINGS,3619,2499995,2025-01-16,TwoFamily
1,02 TWO FAMILY DWELLINGS,3615,2750000,2025-02-21,TwoFamily
3,01 ONE FAMILY DWELLINGS,992,905000,2024-12-11,OneFamily
3,02 TWO FAMILY DWELLINGS,1188,1300000,2024-11-26,TwoFamily
4,02 TWO FAMILY DWELLINGS,2000,5300000,2025-01-29,TwoFamily
4,01 ONE FAMILY DWELLINGS,1496,455000,2025-03-31,OneFamily
4,01 ONE FAMILY DWELLINGS,1496,680000,2025-09-22,OneFamily
5,01 ONE FAMILY DWELLINGS,1088,635000,2025-03-19,OneFamily
5,01 ONE FAMILY DWELLINGS,1112,630000,2025-03-20,OneFamily
5,01 ONE FAMILY DWELLINGS,1088,635000,2025-07-09,OneFamily
5,01 ONE FAMILY DWELLINGS,1427,628000,2025-08-13,OneFamily
5,01 ONE FAMILY DWELLINGS,1280,390000,2024-11-29,OneFamily
3,02 TWO FAMILY DWELLINGS,2912,3450000,2025-07-31,TwoFamily
3,02 TWO FAMILY DWELLINGS,1992,1500000,2025-01-24,TwoFamily
1,37 RELIGIOUS FACILITIES,31797,48250000,2025-07-25,Other
4,02 TWO FAMILY DWELLINGS,1762,1488888,2025-10-17,TwoFamily
3,01 ONE FAMILY DWELLINGS,1648,850000,2025-05-13,OneFamily
5,01 ONE FAMILY DWELLINGS,1176,507751,2024-12-19,OneFamily
1,01 ONE FAMILY DWELLINGS,2880,4295000,2025-05-28,OneFamily
1,02 TWO FAMILY DWELLINGS,2880,4385000,2025-06-05,TwoFamily
1,03 THREE FAMILY DWELLINGS,3024,5275000,2024-12-16,ThreeFamily
3,03 THREE FAMILY DWELLINGS,3040,2090000,2025-09-09,ThreeFamily
1,37 RELIGIOUS FACILITIES,11588,9250000,2025-06-04,Other
3,02 TWO FAMILY DWELLINGS,1800,999343,2025-02-14,TwoFamily
3,02 TWO FAMILY DWELLINGS,4160,999343,2025-02-14,TwoFamily
3,02 TWO FAMILY DWELLINGS,2120,700000,2025-07-29,TwoFamily
5,01 ONE FAMILY DWELLINGS,2500,649000,2024-12-18,OneFamily
5,01 ONE FAMILY DWELLINGS,1000,450000,2024-12-18,OneFamily
5,01 ONE FAMILY DWELLINGS,1270,570000,2024-12-19,OneFamily
3,02 TWO FAMILY DWELLINGS,3460,1300000,2025-09-12,TwoFamily
3,07 RENTALS - WALKUP APARTMENTS,6500,6639875,2025-09-05,WalkupApt
1,35 INDOOR PUBLIC AND CULTURAL FACILITIES,50560,100000000,2024-11-01,Commercial
3,22 STORE BUILDINGS,2480,2045000,2025-09-12,Commercial
1,01 ONE FAMILY DWELLINGS,1008,6400000,2024-11-01,OneFamily
1,02 TWO FAMILY DWELLINGS,1398,8000000,2025-06-27,TwoFamily
2,07 RENTALS - WALKUP APARTMENTS,54200,3900000,2025-07-24,WalkupApt
5,01 ONE FAMILY DWELLINGS,4170,670970,2025-08-14,OneFamily
4,01 ONE FAMILY DWELLINGS,2417,1500000,2025-09-10,OneFamily
4,02 TWO FAMILY DWELLINGS,1422,700000,2025-02-11,TwoFamily
4,02 TWO FAMILY DWELLINGS,1422,1100000,2025-07-28,TwoFamily
5,01 ONE FAMILY DWELLINGS,1312,505000,2025-02-14,OneFamily
3,03 THREE FAMILY DWELLINGS,2220,3340000,2025-03-14,ThreeFamily
1,01 ONE FAMILY DWELLINGS,2853,5800000,2025-07-18,OneFamily
2,03 THREE FAMILY DWELLINGS,2460,950000,2024-12-23,ThreeFamily
2,01 ONE FAMILY DWELLINGS,1088,440000,2025-01-29,OneFamily
2,01 ONE FAMILY DWELLINGS,1088,699500,2025-09-29,OneFamily
3,03 THREE FAMILY DWELLINGS,2888,10670376,2025-06-13,ThreeFamily
3,01 ONE FAMILY DWELLINGS,1320,1050000,2025-06-25,OneFamily
3,01 ONE FAMILY DWELLINGS,960,525000,2025-01-02,OneFamily
3,01 ONE FAMILY DWELLINGS,960,975000,2025-09-29,OneFamily
3,02 TWO FAMILY DWELLINGS,1662,1975000,2025-07-24,TwoFamily
3,02 TWO FAMILY DWELLINGS,1948,2000000,2025-06-02,TwoFamily
3,01 ONE FAMILY DWELLINGS,983,665000,2025-09-08,OneFamily
3,02 TWO FAMILY DWELLINGS,2430,2800000,2024-12-30,TwoFamily
4,01 ONE FAMILY DWELLINGS,1179,675000,2025-02-28,OneFamily
4,02 TWO FAMILY DWELLINGS,1680,890000,2025-04-24,TwoFamily
5,01 ONE FAMILY DWELLINGS,1060,655000,2025-08-22,OneFamily
5,01 ONE FAMILY DWELLINGS,1300,560000,2025-02-05,OneFamily
5,01 ONE FAMILY DWELLINGS,1300,620000,2025-06-02,OneFamily
5,01 ONE FAMILY DWELLINGS,1140,575000,2025-08-12,OneFamily
5,01 ONE FAMILY DWELLINGS,1144,650000,2025-09-29,OneFamily
5,01 ONE FAMILY DWELLINGS,1144,536000,2025-02-21,OneFamily
5,01 ONE FAMILY DWELLINGS,1144,580000,2025-09-15,OneFamily
2,08 RENTALS - ELEVATOR APARTMENTS,58824,4947220,2025-05-16,ElevatorApt
2,01 ONE FAMILY DWELLINGS,1528,710000,2025-07-08,OneFamily
3,01 ONE FAMILY DWELLINGS,1750,1500000,2025-07-28,OneFamily
4,30 WAREHOUSES,8845,4500000,2025-08-15,Commercial
4,22 STORE BUILDINGS,21856,23400000,2025-04-25,Commercial
3,03 THREE FAMILY DWELLINGS,2436,692760,2025-03-14,ThreeFamily
2,27 FACTORIES,27425,6000000,2025-09-04,Commercial
3,02 TWO FAMILY DWELLINGS,2672,2900000,2025-07-29,TwoFamily
5,01 ONE FAMILY DWELLINGS,1400,635000,2025-07-23,OneFamily
3,02 TWO FAMILY DWELLINGS,1662,2787000,2025-02-13,TwoFamily
3,02 TWO FAMILY DWELLINGS,2190,2675000,2025-07-22,TwoFamily
3,02 TWO FAMILY DWELLINGS,1408,1040000,2025-02-18,TwoFamily
3,22 STORE BUILDINGS,3021,1900000,2025-08-11,Commercial
5,01 ONE FAMILY DWELLINGS,1050,625000,2025-01-27,OneFamily
5,01 ONE FAMILY DWELLINGS,1435,624000,2025-07-16,OneFamily
3,22 STORE BUILDINGS,58300,1000000,2024-12-20,Commercial
1,02 TWO FAMILY DWELLINGS,4136,6350000,2025-05-05,TwoFamily
5,01 ONE FAMILY DWELLINGS,1324,525000,2025-01-31,OneFamily
5,01 ONE FAMILY DWELLINGS,1600,605000,2024-12-05,OneFamily
5,01 ONE FAMILY DWELLINGS,1032,550000,2025-03-27,OneFamily
3,02 TWO FAMILY DWELLINGS,1839,1700000,2025-02-21,TwoFamily
4,01 ONE FAMILY DWELLINGS,1152,627500,2025-06-20,OneFamily
2,01 ONE FAMILY DWELLINGS,5183,2037300,2025-10-10,OneFamily
5,01 ONE FAMILY DWELLINGS,1410,641000,2025-05-23,OneFamily
2,01 ONE FAMILY DWELLINGS,763,545000,2025-07-31,OneFamily
2,07 RENTALS - WALKUP APARTMENTS,45500,2475000,2024-12-30,WalkupApt
5,01 ONE FAMILY DWELLINGS,3790,1450000,2025-07-15,OneFamily
2,01 ONE FAMILY DWELLINGS,1224,585000,2025-05-29,OneFamily
3,02 TWO FAMILY DWELLINGS,1560,740000,2024-12-03,TwoFamily
3,01 ONE FAMILY DWELLINGS,1922,1780000,2025-07-01,OneFamily
3,02 TWO FAMILY DWELLINGS,1662,2900000,2025-09-12,TwoFamily
2,01 ONE FAMILY DWELLINGS,2304,2550000,2025-05-13,OneFamily
1,22 STORE BUILDINGS,4800,650000,2024-12-20,Commercial
1,22 STORE BUILDINGS,1960,650000,2024-12-20,Commercial
1,21 OFFICE BUILDINGS,3982,3000000,2025-04-24,Commercial
2,02 TWO FAMILY DWELLINGS,1552,660000,2024-11-13,TwoFamily
3,02 TWO FAMILY DWELLINGS,1500,1100000,2025-07-08,TwoFamily
3,02 TWO FAMILY DWELLINGS,2352,5625000,2025-08-11,TwoFamily
3,02 TWO FAMILY DWELLINGS,2160,860000,2025-08-14,TwoFamily
3,03 THREE FAMILY DWELLINGS,2160,3259479,2025-07-17,ThreeFamily
4,02 TWO FAMILY DWELLINGS,1240,830000,2025-10-24,TwoFamily
4,22 STORE BUILDINGS,3340,1500000,2025-06-09,Commercial
4,01 ONE FAMILY DWELLINGS,1382,770000,2025-06-23,OneFamily
4,02 TWO FAMILY DWELLINGS,1298,820000,2025-07-18,TwoFamily
5,01 ONE FAMILY DWELLINGS,432,395000,2025-03-28,OneFamily
5,01 ONE FAMILY DWELLINGS,504,250000,2025-05-07,OneFamily
5,01 ONE FAMILY DWELLINGS,1305,615000,2025-03-05,OneFamily
2,07 RENTALS - WALKUP APARTMENTS,37740,3800000,2025-04-22,WalkupApt
4,08 RENTALS - ELEVATOR APARTMENTS,57457,11500000,2025-08-07,ElevatorApt
4,30 WAREHOUSES,13850,10160141,2025-08-05,Commercial
5,01 ONE FAMILY DWELLINGS,500,364894,2025-07-02,OneFamily
3,02 TWO FAMILY DWELLINGS,1237,1200000,2024-11-27,TwoFamily
3,07 RENTALS - WALKUP APARTMENTS,3940,1815000,2025-05-15,WalkupApt
3,01 ONE FAMILY DWELLINGS,1072,800000,2025-04-07,OneFamily
4,03 THREE FAMILY DWELLINGS,3500,1550000,2025-03-19,ThreeFamily
4,01 ONE FAMILY DWELLINGS,730,599000,2025-05-14,OneFamily
5,01 ONE FAMILY DWELLINGS,3020,1060000,2025-01-16,OneFamily
2,01 ONE FAMILY DWELLINGS,1355,625000,2025-02-28,OneFamily
3,29 COMMERCIAL GARAGES,1028,500000,2024-11-01,Commercial
3,01 ONE FAMILY DWELLINGS,1680,655000,2025-02-25,OneFamily
3,01 ONE FAMILY DWELLINGS,978,990000,2025-10-21,OneFamily
5,01 ONE FAMILY DWELLINGS,1678,650000,2025-05-30,OneFamily
3,07 RENTALS - WALKUP APARTMENTS,3000,4165250,2025-02-28,WalkupApt
3,07 RENTALS - WALKUP APARTMENTS,3000,4165250,2025-02-28,WalkupApt
4,01 ONE FAMILY DWELLINGS,864,588000,2025-06-30,OneFamily
4,01 ONE FAMILY DWELLINGS,963,410000,2025-02-27,OneFamily
5,01 ONE FAMILY DWELLINGS,1570,630000,2025-07-18,OneFamily
3,01 ONE FAMILY DWELLINGS,1262,980000,2025-10-27,OneFamily
3,08 RENTALS - ELEVATOR APARTMENTS,108501,176073,2025-04-30,ElevatorApt
1,07 RENTALS - WALKUP APARTMENTS,1330,1650000,2025-01-30,WalkupApt
5,01 ONE FAMILY DWELLINGS,1120,465000,2024-12-30,OneFamily
1,21 OFFICE BUILDINGS,234846,75250000,2025-01-16,Commercial
3,02 TWO FAMILY DWELLINGS,2415,1021100,2025-07-16,TwoFamily
3,02 TWO FAMILY DWELLINGS,2700,3265000,2025-04-29,TwoFamily
4,01 ONE FAMILY DWELLINGS,1741,910000,2025-07-16,OneFamily
3,02 TWO FAMILY DWELLINGS,2432,2850000,2025-04-03,TwoFamily
3,03 THREE FAMILY DWELLINGS,2458,2040000,2025-06-06,ThreeFamily
3,02 TWO FAMILY DWELLINGS,2001,950000,2025-07-30,TwoFamily
3,02 TWO FAMILY DWELLINGS,2392,3295000,2025-01-06,TwoFamily
3,03 THREE FAMILY DWELLINGS,2838,682000,2025-03-10,ThreeFamily
3,02 TWO FAMILY DWELLINGS,1365,1280000,2025-06-30,TwoFamily
4,01 ONE FAMILY DWELLINGS,1308,654500,2025-08-04,OneFamily
5,01 ONE FAMILY DWELLINGS,1290,580000,2024-11-15,OneFamily
5,01 ONE FAMILY DWELLINGS,1140,549900,2025-08-21,OneFamily
3,22 STORE BUILDINGS,3400,2225000,2025-05-06,Commercial
2,02 TWO FAMILY DWELLINGS,1566,685000,2024-12-12,TwoFamily
4,02 TWO FAMILY DWELLINGS,3600,5300000,2025-02-06,TwoFamily
5,01 ONE FAMILY DWELLINGS,953,495000,2025-03-24,OneFamily
5,01 ONE FAMILY DWELLINGS,1056,485000,2025-03-13,OneFamily
5,01 ONE FAMILY DWELLINGS,1176,570000,2025-03-12,OneFamily
3,02 TWO FAMILY DWELLINGS,1600,2850000,2024-12-10,TwoFamily
3,02 TWO FAMILY DWELLINGS,900,1600000,2025-08-27,TwoFamily
2,21 OFFICE BUILDINGS,5805,1770000,2025-01-02,Commercial
5,01 ONE FAMILY DWELLINGS,4615,1955000,2025-04-30,OneFamily
2,02 TWO FAMILY DWELLINGS,1528,845000,2025-03-31,TwoFamily
3,02 TWO FAMILY DWELLINGS,3690,1800000,2025-03-05,TwoFamily
4,01 ONE FAMILY DWELLINGS,2600,900000,2025-01-30,OneFamily
1,01 ONE FAMILY DWELLINGS,3400,2825000,2025-05-15,OneFamily
2,01 ONE FAMILY DWELLINGS,1232,795000,2025-03-31,OneFamily
4,01 ONE FAMILY DWELLINGS,1344,500000,2024-11-15,OneFamily
3,01 ONE FAMILY DWELLINGS,1176,732500,2025-08-27,OneFamily
2,03 THREE FAMILY DWELLINGS,2050,850000,2025-07-24,ThreeFamily
4,01 ONE FAMILY DWELLINGS,942,875000,2025-06-27,OneFamily
4,22 STORE BUILDINGS,19000,6750000,2025-04-09,Commercial
5,02 TWO FAMILY DWELLINGS,4550,775000,2024-11-18,TwoFamily
2,03 THREE FAMILY DWELLINGS,2931,954500,2025-07-10,ThreeFamily
2,07 RENTALS - WALKUP APARTMENTS,55084,4500000,2024-11-14,WalkupApt
3,02 TWO FAMILY DWELLINGS,1880,800000,2025-02-18,TwoFamily
1,02 TWO FAMILY DWELLINGS,2664,2800000,2025-09-26,TwoFamily
2,01 ONE FAMILY DWELLINGS,1224,665000,2025-05-16,OneFamily
2,01 ONE FAMILY DWELLINGS,1224,415000,2025-01-09,OneFamily
2,01 ONE FAMILY DWELLINGS,1224,690000,2024-12-30,OneFamily
3,01 ONE FAMILY DWELLINGS,1080,1295000,2025-09-15,OneFamily
3,01 ONE FAMILY DWELLINGS,2064,3325000,2025-10-10,OneFamily
3,07 RENTALS - WALKUP APARTMENTS,3240,1700000,2025-06-09,WalkupApt
3,03 THREE FAMILY DWELLINGS,3144,2500000,2024-12-03,ThreeFamily
3,01 ONE FAMILY DWELLINGS,1116,430000,2025-08-07,OneFamily
3,01 ONE FAMILY DWELLINGS,1164,203810,2025-02-17,OneFamily
3,01 ONE FAMILY DWELLINGS,1188,875000,2025-07-17,OneFamily
3,14 RENTALS - 4-10 UNIT,4504,24000000,2025-09-18,Other
3,14 RENTALS - 4-10 UNIT,4504,24000000,2025-09-18,Other
4,01 ONE FAMILY DWELLINGS,974,575000,2024-11-21,OneFamily
4,01 ONE FAMILY DWELLINGS,2052,1400000,2025-08-28,OneFamily
4,01 ONE FAMILY DWELLINGS,732,515000,2025-05-30,OneFamily
4,01 ONE FAMILY DWELLINGS,810,365000,2025-02-10,OneFamily
4,01 ONE FAMILY DWELLINGS,756,637128,2024-11-25,OneFamily
4,02 TWO FAMILY DWELLINGS,2112,650000,2025-01-27,TwoFamily
4,01 ONE FAMILY DWELLINGS,1468,615000,2025-05-30,OneFamily
4,02 TWO FAMILY DWELLINGS,1232,590000,2025-01-21,TwoFamily
5,01 ONE FAMILY DWELLINGS,1080,588000,2025-03-07,OneFamily
5,01 ONE FAMILY DWELLINGS,1200,600000,2025-06-10,OneFamily
5,01 ONE FAMILY DWELLINGS,1140,390000,2025-04-10,OneFamily
5,01 ONE FAMILY DWELLINGS,1140,600000,2025-09-03,OneFamily
5,01 ONE FAMILY DWELLINGS,1060,525000,2025-09-03,OneFamily
5,01 ONE FAMILY DWELLINGS,1060,135000,2025-03-31,OneFamily
1,08 RENTALS - ELEVATOR APARTMENTS,210305,93900000,2025-05-14,ElevatorApt
4,01 ONE FAMILY DWELLINGS,2372,1900000,2025-09-10,OneFamily
5,22 STORE BUILDINGS,6095,4000000,2024-12-17,Commercial
3,02 TWO FAMILY DWELLINGS,3680,4225000,2025-08-14,TwoFamily
2,21 OFFICE BUILDINGS,2360,1200000,2025-10-03,Commercial
4,01 ONE FAMILY DWELLINGS,1300,630000,2025-08-05,OneFamily
3,14 RENTALS - 4-10 UNIT,3040,1340000,2024-11-04,Other
3,03 THREE FAMILY DWELLINGS,1875,2500000,2025-09-29,ThreeFamily
4,01 ONE FAMILY DWELLINGS,934,371000,2025-08-08,OneFamily
4,01 ONE FAMILY DWELLINGS,736,600000,2025-09-30,OneFamily
5,01 ONE FAMILY DWELLINGS,1008,353886,2025-04-17,OneFamily
5,01 ONE FAMILY DWELLINGS,1008,540000,2025-06-06,OneFamily
1,22 STORE BUILDINGS,5134,5426000,2025-04-08,Commercial
1,22 STORE BUILDINGS,4386,5426000,2025-04-08,Commercial
1,22 STORE BUILDINGS,5490,62588500,2025-10-21,Commercial
3,02 TWO FAMILY DWELLINGS,2520,2600000,2024-12-11,TwoFamily
3,02 TWO FAMILY DWELLINGS,1920,1000000,2024-11-13,TwoFamily
3,01 ONE FAMILY DWELLINGS,1120,615000,2025-08-08,OneFamily
3,02 TWO FAMILY DWELLINGS,1836,1750000,2025-10-16,TwoFamily
3,01 ONE FAMILY DWELLINGS,1092,626000,2025-02-19,OneFamily
3,01 ONE FAMILY DWELLINGS,1792,1900000,2025-04-02,OneFamily
5,01 ONE FAMILY DWELLINGS,1112,595000,2025-05-28,OneFamily
5,01 ONE FAMILY DWELLINGS,1300,400000,2025-03-31,OneFamily
3,01 ONE FAMILY DWELLINGS,1344,925000,2025-03-25,OneFamily
4,01 ONE FAMILY DWELLINGS,2480,2100000,2025-08-06,OneFamily
4,07 RENTALS - WALKUP APARTMENTS,15400,599152,2025-09-29,WalkupApt
1,14 RENTALS - 4-10 UNIT,4196,1500000,2024-12-11,Other
5,01 ONE FAMILY DWELLINGS,1240,580000,2025-01-30,OneFamily
4,02 TWO FAMILY DWELLINGS,3492,1225000,2024-12-12,TwoFamily
4,14 RENTALS - 4-10 UNIT,3456,1275000,2024-11-08,Other
1,01 ONE FAMILY DWELLINGS,3525,7700000,2025-02-03,OneFamily
3,02 TWO FAMILY DWELLINGS,3800,2500000,2025-09-04,TwoFamily
3,02 TWO FAMILY DWELLINGS,3211,2115000,2025-07-18,TwoFamily
3,07 RENTALS - WALKUP APARTMENTS,3218,4350000,2025-03-17,WalkupApt
3,02 TWO FAMILY DWELLINGS,2730,3090000,2025-08-07,TwoFamily
5,01 ONE FAMILY DWELLINGS,1319,680000,2025-07-18,OneFamily
