borough,building_class_category,gross_square_feet,sale_price,sale_date,building_class_8
4,21 OFFICE BUILDINGS,21000,5700000,2025-07-02,Commercial
3,02 TWO FAMILY DWELLINGS,1818,275000,2025-09-15,TwoFamily
4,02 TWO FAMILY DWELLINGS,3341,1300000,2024-12-03,TwoFamily
2,01 ONE FAMILY DWELLINGS,1146,525000,2025-08-01,OneFamily
3,02 TWO FAMILY DWELLINGS,2592,2285000,2025-07-25,TwoFamily
3,02 TWO FAMILY DWELLINGS,2070,880000,2025-03-14,TwoFamily
3,03 THREE FAMILY DWELLINGS,2560,3300000,2025-10-07,ThreeFamily
4,03 THREE FAMILY DWELLINGS,1436,853000,2025-02-13,ThreeFamily
4,01 ONE FAMILY DWELLINGS,1200,555000,2025-03-20,OneFamily
5,01 ONE FAMILY DWELLINGS,1600,671000,2025-03-04,OneFamily
3,21 OFFICE BUILDINGS,31100,8500000,2025-04-16,Commercial
5,27 FACTORIES,9769,4900000,2025-10-03,Commercial
5,01 ONE FAMILY DWELLINGS,1080,300000,2025-01-06,OneFamily
2,29 COMMERCIAL GARAGES,1040,525000,2024-12-02,Commercial
4,30 WAREHOUSES,7200,3200000,2025-09-04,Commercial
4,01 ONE FAMILY DWELLINGS,4800,3500000,2025-06-02,OneFamily
1,01 ONE FAMILY DWELLINGS,3192,3850000,2025-10-07,OneFamily
3,22 STORE BUILDINGS,11657,7000000,2025-06-25,Commercial
4,01 ONE FAMILY DWELLINGS,2458,2138400,2024-12-06,OneFamily
5,02 TWO FAMILY DWELLINGS,3054,1414235,2025-05-02,TwoFamily
3,02 TWO FAMILY DWELLINGS,1836,675000,2025-07-08,TwoFamily
1,01 ONE FAMILY DWELLINGS,3360,6400000,2025-05-06,OneFamily
3,02 TWO FAMILY DWELLINGS,1653,1080000,2025-08-25,TwoFamily
3,02 TWO FAMILY DWELLINGS,3300,1497503,2025-06-30,TwoFamily
5,01 ONE FAMILY DWELLINGS,1339,640000,2025-07-21,OneFamily
5,01 ONE FAMILY DWELLINGS,1165,505000,2024-11-15,OneFamily
5,02 TWO FAMILY DWELLINGS,1450,350000,2025-05-02,TwoFamily
5,01 ONE FAMILY DWELLINGS,4358,1800000,2025-04-22,OneFamily
3,07 RENTALS - WALKUP APARTMENTS,42120,6250000,2025-06-25,WalkupApt
4,29 COMMERCIAL GARAGES,2400,3250000,2025-05-01,Commercial
4,01 ONE FAMILY DWELLINGS,1375,1155000,2025-10-03,OneFamily
4,02 TWO FAMILY DWELLINGS,3612,1800000,2025-09-04,TwoFamily
5,37 RELIGIOUS FACILITIES,2750,550000,2025-02-28,Other
2,01 ONE FAMILY DWELLINGS,935,625000,2025-04-16,OneFamily
5,01 ONE FAMILY DWELLINGS,1420,638000,2025-08-21,OneFamily
3,01 ONE FAMILY DWELLINGS,4441,5350000,2025-08-11,OneFamily
3,01 ONE FAMILY DWELLINGS,630,550000,2025-05-02,OneFamily
5,01 ONE FAMILY DWELLINGS,925,525000,2024-12-05,OneFamily
5,01 ONE FAMILY DWELLINGS,2600,1748888,2025-07-31,OneFamily
5,01 ONE FAMILY DWELLINGS,3600,1630000,2025-05-28,OneFamily
5,02 TWO FAMILY DWELLINGS,3974,975000,2024-11-22,TwoFamily
5,01 ONE FAMILY DWELLINGS,1375,599999,2025-04-14,OneFamily
5,01 ONE FAMILY DWELLINGS,1472,1272813,2025-01-21,OneFamily
1,02 TWO FAMILY DWELLINGS,2400,8575000,2025-08-13,TwoFamily
3,02 TWO FAMILY DWELLINGS,2000,714812,2025-09-29,TwoFamily
3,32 HOSPITAL AND HEALTH FACILITIES,22039,12550000,2025-04-10,Commercial
2,29 COMMERCIAL GARAGES,2112,3650000,2024-12-11,Commercial
5,01 ONE FAMILY DWELLINGS,5156,1880000,2025-06-18,OneFamily
3,03 THREE FAMILY DWELLINGS,2241,3325000,2025-01-09,ThreeFamily
3,29 COMMERCIAL GARAGES,12000,13500000,2025-07-24,Commercial
3,01 ONE FAMILY DWELLINGS,1452,600000,2024-11-20,OneFamily
4,01 ONE FAMILY DWELLINGS,1190,890000,2025-05-15,OneFamily
5,01 ONE FAMILY DWELLINGS,1248,550000,2025-05-27,OneFamily
5,01 ONE FAMILY DWELLINGS,1250,474750,2024-11-07,OneFamily
3,02 TWO FAMILY DWELLINGS,1881,1170000,2024-11-22,TwoFamily
4,21 OFFICE BUILDINGS,24370,9000000,2025-03-12,Commercial
5,03 THREE FAMILY DWELLINGS,2160,1200000,2025-01-23,ThreeFamily
4,22 STORE BUILDINGS,11325,3600000,2025-08-26,Commercial
3,03 THREE FAMILY DWELLINGS,2957,1550000,2025-05-20,ThreeFamily
4,02 TWO FAMILY DWELLINGS,1862,399000,2025-05-16,TwoFamily
4,22 STORE BUILDINGS,1045,450000,2025-02-05,Commercial
2,01 ONE FAMILY DWELLINGS,1752,730000,2025-10-06,OneFamily
3,02 TWO FAMILY DWELLINGS,1830,2380000,2025-09-22,TwoFamily
3,22 STORE BUILDINGS,2074,755000,2024-11-12,Commercial
3,02 TWO FAMILY DWELLINGS,1496,790000,2025-06-03,TwoFamily
3,02 TWO FAMILY DWELLINGS,1496,475000,2024-11-14,TwoFamily
5,01 ONE FAMILY DWELLINGS,1036,550000,2024-12-19,OneFamily
5,01 ONE FAMILY DWELLINGS,1176,525000,2025-09-17,OneFamily
2,08 RENTALS - ELEVATOR APARTMENTS,54369,4179630,2025-05-16,ElevatorApt
2,07 RENTALS - WALKUP APARTMENTS,54048,3811081,2025-03-27,WalkupApt
